Company_Code,Company_Name,Market_Type,Security_Code,Sector,Market_Cap,Last_Price,PE,DY,ROE
AASIA,ASTRAL ASIA BERHAD,MAIN,7054,Plantation,79.20m,0.12,-,0.00,-3.10
AAX,AIRASIA X BERHAD,MAIN,5238,"Travel, Leisure & Hospitality",1.082b,2.42,-,0.00,-
ABFMY1,ABF MALAYSIA BOND INDEX FUND,ETF,0800EA,Bond Fund,1.702b,1.19,-,0.39,-
ABLEGLOB,ABLE GLOBAL BERHAD,MAIN,7167,Food & Beverages,403.61m,1.30,11.86,3.08,8.06
ABLEGRP,ABLEGROUP BERHAD,MAIN,7086,Building Materials,29.03m,0.11,100.00,0.00,0.69
ABMB,ALLIANCE BANK MALAYSIA BERHAD,MAIN,2488,Banking,5.171b,3.34,8.39,6.59,9.13
ACME,ACME HOLDINGS BERHAD,MAIN,7131,Property,99.24m,0.27,71.05,0.00,1.27
ACO,ACO GROUP BERHAD,ACE,0218,Industrial Services,79.90m,0.23,21.50,0.87,4.12
ADB,AUTOCOUNT DOTCOM BERHAD,ACE,0276,Software,363.33m,0.66,-,3.03,-
ADVCON,ADVANCECON HOLDINGS BERHAD,MAIN,5281,Construction,175.42m,0.30,-,0.00,-9.25
ADVENTA,ADVENTA BERHAD,MAIN,7191,Health Care Equipment & Services,63.41m,0.42,-,0.00,-14.92
ADVPKG,ADVANCED PACKAGING TECHNOLOGY (M) BHD,MAIN,9148,Packaging Materials,55.77m,0.68,-,0.00,-7.28
AEM,AE MULTI HOLDINGS BERHAD,MAIN,7146,"Industrial Materials, Components & Equipment",32.45m,0.02,-,0.00,-25.33
AEMULUS,AEMULUS HOLDINGS BERHAD,ACE,0181,Technology Equipment,211.07m,0.32,-,0.00,-8.42
AEON,AEON CO. (M) BHD,MAIN,6599,Retailers,1.558b,1.11,14.94,3.60,5.76
AEONCR,AEON CREDIT SERVICE (M) BERHAD,MAIN,5139,Other Financials,3.064b,12.00,7.69,4.12,15.93
AFFIN,AFFIN BANK BERHAD,MAIN,5185,Banking,4.951b,2.11,3.89,5.83,11.25
AFUJIYA,ABM FUJIYA BERHAD,MAIN,5198,Auto Parts,68.40m,0.38,-,0.00,-3.52
AGES,AGESON BERHAD,MAIN,7145,Construction,9.35m,0.03,-,0.00,-
AGMO,AGMO HOLDINGS BERHAD,ACE,0258,Software,201.50m,0.62,26.72,0.00,18.12
AHB,AHB HOLDINGS BERHAD,MAIN,7315,Consumer Services,85.16m,0.14,-,0.00,-31.13
AHEALTH,APEX HEALTHCARE BERHAD,MAIN,7090,Pharmaceuticals,1.753b,2.44,4.22,2.32,46.65
AIM,ADVANCE INFORMATION MARKETING BERHAD,ACE,0122,Industrial Services,19.51m,0.20,-,0.00,-66.75
AIMFLEX,AIMFLEX BERHAD,ACE,0209,Technology Equipment,316.59m,0.22,26.88,0.00,8.89
AIRPORT,MALAYSIA AIRPORTS HOLDINGS BERHAD,MAIN,5014,Transportation & Logistics Services,12.014b,7.20,23.52,0.54,6.64
AJI,AJINOMOTO (MALAYSIA) BERHAD,MAIN,2658,Food & Beverages,942.38m,15.50,23.24,0.59,7.57
AJIYA,AJIYA BERHAD,MAIN,7609,Building Materials,456.88m,1.50,6.30,0.00,14.80
ALAM,ALAM MARITIM RESOURCES BERHAD,MAIN,5115,"Energy Infrastructure, Equipment & Services",45.95m,0.03,2.78,0.00,-
ALAQAR,AL-`AQAR HEALTHCARE REIT,MAIN,5116,Real Estate Investment Trusts,1.058b,1.26,19.09,6.43,5.16
ALCOM,ALCOM GROUP BERHAD,MAIN,2674,Metals,107.46m,0.80,2.30,3.12,19.45
ALLIANZ,ALLIANZ MALAYSIA BERHAD,MAIN,1163,Insurance,2.823b,15.86,4.60,5.36,12.32
ALRICH,ALDRICH RESOURCES BERHAD,ACE,0079,Software,38.97m,0.04,70.00,0.00,2.27
ALSREIT,AL-SALAM REAL ESTATE INVESTMENT TRUST,MAIN,5269,Real Estate Investment Trusts,263.90m,0.46,4.19,5.49,9.88
AMBANK,AMMB HOLDINGS BERHAD,MAIN,1015,Banking,12.395b,3.74,7.32,4.89,9.14
AME,AME ELITE CONSORTIUM BERHAD,MAIN,5293,Construction,941.79m,1.47,7.80,2.72,14.38
AMEDIA,ASIA MEDIA GROUP BERHAD,MAIN,0159,Media,35.80m,0.12,16.67,0.00,0.17
AMEREIT,AME REAL ESTATE INVESTMENT TRUST,MAIN,5307,Real Estate Investment Trusts,653.64m,1.25,10.69,3.03,10.89
AMFIRST,AMFIRST REAL ESTATE INVESTMENT TRUST,MAIN,5120,Real Estate Investment Trusts,229.94m,0.34,18.41,8.06,1.57
AMLEX,AMLEX HOLDINGS BERHAD,LEAP,03011,Semiconductors,115.29m,0.43,-,1.40,-
AMTEL,AMTEL HOLDINGS BERHAD,MAIN,7031,Telecommunications Equipment,61.34m,0.63,23.58,0.00,3.69
AMWAY,AMWAY (MALAYSIA) HOLDINGS BERHAD,MAIN,6351,Retailers,871.24m,5.30,11.02,7.17,32.27
ANALABS,ANALABS RESOURCES BERHAD,MAIN,7083,Industrial Services,183.67m,1.53,7.12,1.31,6.71
ANCOMLB,ANCOM LOGISTICS BERHAD,ACE,0048,Transportation & Logistics Services,59.16m,0.13,-,0.00,-1.60
ANCOMNY,ANCOM NYLEX BERHAD,MAIN,4758,Chemicals,1.186b,1.20,15.79,0.83,14.62
ANEKA,ANEKA JARINGAN HOLDINGS BERHAD,ACE,0226,Construction,117.48m,0.18,-,0.00,-30.63
ANNJOO,ANN JOO RESOURCES BERHAD,MAIN,6556,Metals,676.94m,1.17,-,0.00,-18.11
ANNUM,ANNUM BERHAD,MAIN,5082,Wood & Wood Products,30.71m,0.14,-,0.00,-
AORB,ALPHA OCEAN RESOURCES BERHAD,LEAP,03051,Agricultural Products,323.00m,3.23,-,0.19,-
APB,APB RESOURCES BERHAD,MAIN,5568,Industrial Engineering,248.33m,2.20,30.51,4.55,5.22
APEX,APEX EQUITY HOLDINGS BERHAD,MAIN,5088,Other Financials,239.19m,1.12,36.48,0.00,1.92
APM,APM AUTOMOTIVE HOLDINGS BERHAD,MAIN,5015,Auto Parts,411.26m,2.04,14.33,6.86,2.13
APOLLO,APOLLO FOOD HOLDINGS BERHAD,MAIN,6432,Food & Beverages,424.00m,5.30,12.21,4.72,14.09
APPASIA,APPASIA BERHAD,ACE,0119,Software,119.24m,0.11,65.62,0.00,0.07
ARANK,A-RANK BERHAD,MAIN,7214,Metals,97.42m,0.55,6.98,5.05,8.05
ARBB,ARB BERHAD,MAIN,7181,Software,115.59m,0.10,5.97,0.00,4.68
ARK,ARK RESOURCES HOLDINGS BERHAD,MAIN,7007,Property,22.27m,0.32,-,0.00,-5.94
ARMADA,BUMI ARMADA BERHAD,MAIN,5210,"Energy Infrastructure, Equipment & Services",3.169b,0.54,4.66,0.00,11.84
ARREIT,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,MAIN,5127,Real Estate Investment Trusts,237.89m,0.42,33.47,8.19,0.97
ARTRONIQ,ARTRONIQ BERHAD,ACE,0038,Chemicals,329.07m,0.83,-,0.23,-
ASB,ADVANCE SYNERGY BERHAD,MAIN,1481,"Travel, Leisure & Hospitality",354.09m,0.14,-,0.71,-6.53
ASDION,ASDION BERHAD,ACE,0068,Software,13.42m,0.03,-,0.00,-4.92
ASIABRN,ASIA BRANDS BERHAD,MAIN,7722,Personal Goods,123.30m,0.53,13.70,3.77,3.79
ASIAFLE,ASIA FILE CORPORATION BHD,MAIN,7129,Consumer Services,374.80m,1.92,9.49,1.82,5.10
ASIAPAC,ASIAN PAC HOLDINGS BERHAD,MAIN,4057,Property,163.77m,0.11,20.37,0.00,0.74
ASIAPLY,ASIA POLY HOLDINGS BERHAD,ACE,0105,Chemicals,91.06m,0.10,-,0.00,-6.64
ASTEEL,ASTEEL GROUP BERHAD,MAIN,7020,Metals,46.06m,0.10,-,0.00,-11.23
ASTINO,ASTINO BERHAD,MAIN,7162,Building Materials,256.57m,0.52,9.06,1.92,5.36
ASTRA,ASTRAMINA GROUP BERHAD,LEAP,03032,Food & Beverages,100.70m,0.37,-,0.00,-
ASTRO,ASTRO MALAYSIA HOLDINGS BERHAD,MAIN,6399,Media,2.270b,0.44,22.66,6.90,8.85
AT,AT SYSTEMATIZATION BERHAD,ACE,0072,"Industrial Materials, Components & Equipment",101.79m,0.02,-,0.00,-30.53
ATAIMS,ATA IMS BERHAD,MAIN,8176,"Industrial Materials, Components & Equipment",409.49m,0.34,-,0.00,-54.44
ATECH,AURELIUS TECHNOLOGIES BERHAD,MAIN,5302,"Industrial Materials, Components & Equipment",1.044b,2.65,23.85,1.51,13.72
ATLAN,ATLAN HOLDINGS BHD.,MAIN,7048,Retailers,707.68m,2.79,31.74,1.43,5.36
ATRIUM,ATRIUM REAL ESTATE INVESTMENT TRUST,MAIN,5130,Real Estate Investment Trusts,366.46m,1.38,16.25,5.94,6.42
AURO,AURO HOLDINGS BERHAD,MAIN,5025,Wood & Wood Products,89.75m,0.16,-,0.00,-8.96
AURORA,AURORA ITALIA INTERNATIONAL BERHAD,LEAP,03037,Personal Goods,137.73m,0.22,-,0.91,-
AVALAND,AVALAND BERHAD,MAIN,5182,Property,407.96m,0.28,12.12,0.00,3.82
AVI,AVILLION BERHAD,MAIN,8885,"Travel, Leisure & Hospitality",51.00m,0.05,-,0.00,-2.78
AWANTEC,AWANBIRU TECHNOLOGY BERHAD,MAIN,5204,Digital Services,189.57m,0.24,-,0.00,-3.51
AWC,AWC BERHAD,MAIN,7579,Industrial Services,183.93m,0.57,86.36,3.51,0.94
AXIATA,AXIATA GROUP BERHAD,MAIN,6888,Telecommunications Service Providers,22.122b,2.41,2.35,5.81,38.99
AXREIT,AXIS REAL ESTATE INVESTMENT TRUST,MAIN,5106,Real Estate Investment Trusts,3.186b,1.83,18.90,5.33,6.16
AXTERIA,AXTERIA GROUP BERHAD,MAIN,7120,Property,118.28m,0.17,-,0.00,-4.38
AYER,AYER HOLDINGS BERHAD,MAIN,2305,Property,538.94m,7.20,13.03,2.78,7.25
AYS,AYS VENTURES BERHAD,MAIN,5021,Building Materials,163.20m,0.39,5.96,2.56,6.06
AZRB,AHMAD ZAKI RESOURCES BERHAD,MAIN,7078,Construction,137.52m,0.23,-,0.00,-66.24
BABA,BABA ECO GROUP BERHAD,LEAP,03012,Household Goods,98.88m,0.44,-,0.75,-
BAHVEST,BAHVEST RESOURCES BERHAD,ACE,0098,Metals,396.73m,0.32,-,0.00,-
BARAKAH,BARAKAH OFFSHORE PETROLEUM BERHAD,MAIN,7251,"Energy Infrastructure, Equipment & Services",50.15m,0.05,12.20,0.00,-
BAT,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,MAIN,4162,Personal Goods,2.655b,9.30,11.81,9.46,60.11
BAUTO,BERMAZ AUTO BERHAD,MAIN,5248,Automotive,2.901b,2.48,8.20,8.87,47.94
BCB,BCB BERHAD,MAIN,6602,Property,127.88m,0.31,5.24,0.00,4.74
BCMALL,BCM ALLIANCE BERHAD,ACE,0187,Industrial Services,40.68m,0.02,-,0.00,-7.12
BDB,BINA DARULAMAN BERHAD,MAIN,6173,Property,91.16m,0.30,-,1.53,-0.10
BENALEC,BENALEC HOLDINGS BERHAD,MAIN,5190,Construction,108.32m,0.11,-,0.00,-11.82
BERTAM,BERTAM ALLIANCE BERHAD,MAIN,9814,Property,24.81m,0.10,1.38,0.00,11.34
BESHOM,BESHOM HOLDINGS BERHAD,MAIN,7668,Retailers,303.10m,1.01,26.17,4.95,3.71
BETA,BETAMEK BERHAD,ACE,0263,Auto Parts,204.75m,0.46,12.20,2.20,12.03
BHIC,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,MAIN,8133,Transportation Equipment,126.71m,0.51,-,0.00,-48.62
BIG,B.I.G. INDUSTRIES BERHAD,MAIN,7005,Diversified Industrials,41.58m,0.66,15.78,0.00,6.48
BIMB,BIMB HOLDINGS BERHAD,MAIN,5258,Banking,4.782b,2.11,9.15,6.54,7.14
BINACOM,BINASAT COMMUNICATIONS BERHAD,ACE,0195,Telecommunications Service Providers,137.84m,0.36,30.60,0.00,3.31
BINTAI,BINTAI KINDEN CORPORATION BERHAD,MAIN,6998,Industrial Engineering,70.38m,0.08,-,0.00,-59.50
BIOHLDG,BIOALPHA HOLDINGS BERHAD,ACE,0179,Food & Beverages,119.55m,0.09,-,0.00,-32.31
BIPORT,BINTULU PORT HOLDINGS BERHAD,MAIN,5032,Transportation & Logistics Services,2.383b,5.18,21.55,2.70,6.23
BJASSET,BERJAYA ASSETS BERHAD,MAIN,3239,Property,767.48m,0.30,-,0.00,-1.27
BJCORP,BERJAYA CORPORATION BERHAD,MAIN,3395,Diversified Industrials,1.670b,0.28,-,0.00,-1.77
BJFOOD,BERJAYA FOOD BERHAD,MAIN,5196,"Travel, Leisure & Hospitality",1.393b,0.72,13.47,4.90,18.90
BJLAND,BERJAYA LAND BERHAD,MAIN,4219,"Travel, Leisure & Hospitality",1.400b,0.28,9.40,0.00,3.72
BKAWAN,BATU KAWAN BERHAD,MAIN,1899,Plantation,8.111b,20.30,12.27,5.42,8.21
BLDPLNT,BLD PLANTATION BHD.,MAIN,5069,Plantation,1.029b,11.00,57.68,0.27,2.43
BMGREEN,BM GREENTECH BERHAD,MAIN,0168,"Industrial Materials, Components & Equipment",477.30m,0.93,25.34,1.89,7.60
BONIA,BONIA CORPORATION BERHAD,MAIN,9288,Personal Goods,364.85m,1.81,6.63,6.63,12.84
BORNOIL,BORNEO OIL BERHAD,MAIN,7036,Industrial Services,179.57m,0.02,-,0.00,-1.38
BOXPAK,BOX-PAK (MALAYSIA) BERHAD,MAIN,6297,Packaging Materials,100.24m,0.84,-,0.00,-10.33
BPLANT,BOUSTEAD PLANTATIONS BERHAD,MAIN,5254,Plantation,3.114b,1.39,35.92,10.40,3.02
BPPLAS,BP PLASTICS HOLDING BHD,MAIN,5100,Packaging Materials,337.84m,1.20,11.66,4.58,11.18
BPURI,BINA PURI HOLDINGS BHD,MAIN,5932,Construction,117.94m,0.04,-,0.00,-109.09
BRIGHT,BRIGHT PACKAGING INDUSTRY BERHAD,MAIN,9938,Packaging Materials,40.04m,0.20,-,0.00,-1.45
BSLCORP,BSL CORPORATION BERHAD,MAIN,7221,Metals,78.02m,0.04,-,0.00,-
BTECH,BRITE-TECH BERHAD,ACE,0011,"Gas, Water & Multi-utilities",69.30m,0.28,8.62,2.91,9.38
BTM,BTM RESOURCES BERHAD,MAIN,7188,Wood & Wood Products,87.95m,0.07,-,0.00,-28.33
BURSA,BURSA MALAYSIA BERHAD,MAIN,1818,Other Financials,5.544b,6.85,23.94,3.87,28.05
BVLH,BV LAND HOLDINGS BERHAD,LEAP,03042,Construction,28.48m,0.21,-,0.00,-
CAB,CAB CAKARAN CORPORATION BERHAD,MAIN,7174,Agricultural Products,428.15m,0.61,4.11,0.00,17.27
CABNET,CABNET HOLDINGS BERHAD,ACE,0191,Technology Equipment,42.01m,0.24,-,0.00,-
CAMRES,CAM RESOURCES BERHAD,MAIN,7128,Household Goods,70.85m,0.36,4.90,2.78,10.05
CANONE,CAN-ONE BERHAD,MAIN,5105,Packaging Materials,518.81m,2.70,21.00,1.48,1.33
CAPITALA,CAPITAL A BERHAD,MAIN,5099,"Travel, Leisure & Hospitality",3.982b,0.95,7.51,0.00,-
CAREPLS,CAREPLUS GROUP BERHAD,MAIN,0163,Health Care Equipment & Services,157.94m,0.27,-,0.00,-
CARIMIN,CARIMIN PETROLEUM BERHAD,MAIN,5257,"Energy Infrastructure, Equipment & Services",199.97m,0.86,8.65,2.34,11.92
CARLSBG,CARLSBERG BREWERY MALAYSIA BERHAD,MAIN,2836,Food & Beverages,6.011b,19.66,19.40,4.48,149.00
CARZO,CARZO HOLDINGS BERHAD,LEAP,03048,Food & Beverages,28.62m,0.30,-,0.00,-
CATCHA,CATCHA DIGITAL BERHAD,ACE,0173,Media,179.56m,0.51,463.64,0.00,0.85
CBIP,CB INDUSTRIAL PRODUCT HOLDING BERHAD,MAIN,7076,"Industrial Materials, Components & Equipment",552.44m,1.12,-,1.79,-2.63
CCIB,CC INTERNATIONAL BERHAD,LEAP,03053,Consumer Services,167.89m,0.35,-,2.94,-
CCK,CCK CONSOLIDATED HOLDINGS BERHAD,MAIN,7035,Food & Beverages,504.58m,0.80,6.98,4.38,18.48
CDB,CELCOMDIGI BERHAD,MAIN,6947,Telecommunications Service Providers,50.445b,4.30,52.06,2.84,5.99
CEB,CAPE EMS BERHAD,MAIN,5311,Diversified Industrials,1.080b,1.17,-,0.47,-
CEKD,CEKD BERHAD,ACE,0238,"Industrial Materials, Components & Equipment",93.40m,0.48,19.20,4.17,7.14
CENGILD,CENGILD MEDICAL BERHAD,ACE,0243,Health Care Providers,304.01m,0.37,22.81,2.03,12.40
CENSOF,CENSOF HOLDINGS BERHAD,MAIN,5195,Software,127.02m,0.23,25.84,3.26,4.86
CEPAT,CEPATWAWASAN GROUP BERHAD,MAIN,8982,Plantation,216.54m,0.68,29.31,5.88,1.84
CEPCO,CONCRETE ENGINEERING PRODUCTS BERHAD,MAIN,8435,Building Materials,73.88m,0.99,51.03,0.00,2.52
CETECH,CE TECHNOLOGY BERHAD,LEAP,03024,Industrial Services,398.03m,1.15,-,0.23,-
CFM,COMPUTER FORMS (MALAYSIA) BERHAD,MAIN,8044,Industrial Services,41.48m,0.16,-,129.03,-
CGB,CENTRAL GLOBAL BERHAD,MAIN,8052,Packaging Materials,437.37m,2.53,69.32,0.00,5.21
CHEETAH,CHEETAH HOLDINGS BERHAD,MAIN,7209,Personal Goods,63.21m,0.13,-,0.00,-15.08
CHGP,CHIN HIN GROUP PROPERTY BERHAD,MAIN,7187,Transportation Equipment,517.97m,0.94,19.83,0.00,7.90
CHHB,COUNTRY HEIGHTS HOLDINGS BHD,MAIN,5738,Property,97.50m,0.33,-,0.00,-12.00
CHINHIN,CHIN HIN GROUP BERHAD,MAIN,5273,Building Materials,6.921b,3.91,92.43,0.13,10.07
CHINTEK,CHIN TECK PLANTATIONS BERHAD,MAIN,1929,Plantation,700.76m,7.67,11.08,2.61,7.40
CHINWEL,CHIN WELL HOLDINGS BERHAD,MAIN,5007,"Industrial Materials, Components & Equipment",401.37m,1.34,10.17,4.11,5.53
CHOOBEE,CHOO BEE METAL INDUSTRIES BHD,MAIN,5797,Metals,182.72m,0.93,-,2.70,-2.51
CHUAN,CHUAN HUAT RESOURCES BHD,MAIN,7016,Building Materials,73.37m,0.44,-,0.00,-0.74
CIHLDG,C.I. HOLDINGS BERHAD,MAIN,2828,Food & Beverages,486.00m,3.00,4.84,5.00,24.51
CIMB,CIMB GROUP HOLDINGS BERHAD,MAIN,1023,Banking,57.805b,5.42,9.40,4.80,9.18
CITAGLB,CITAGLOBAL BERHAD,MAIN,7245,Metals,618.04m,1.48,-,0.00,-10.82
CJCEN,CJ CENTURY LOGISTICS HOLDINGS BERHAD,MAIN,7117,Transportation & Logistics Services,237.69m,0.40,12.38,3.75,4.19
CLASSITA,CLASSITA HOLDINGS BERHAD,MAIN,7154,Personal Goods,80.13m,0.07,-,7.69,-2.47
CLMT,CAPITALAND MALAYSIA TRUST,MAIN,5180,Real Estate Investment Trusts,1.490b,0.55,30.62,7.36,1.84
CLOUD,CLOUDARON GROUP BERHAD,LEAP,03001,Digital Services,24.94m,0.03,-,0.00,-
CLOUDPT,CLOUDPOINT TECHNOLOGY BERHAD,ACE,0277,Digital Services,324.28m,0.61,-,0.00,-
CME,CME GROUP BERHAD,MAIN,7018,Industrial Services,31.01m,0.03,-,0.00,-
CMSB,CAHYA MATA SARAWAK BERHAD,MAIN,2852,Building Materials,1.203b,1.12,4.71,2.68,7.98
CNASIA,CN ASIA CORPORATION BHD,MAIN,7986,"Industrial Materials, Components & Equipment",48.93m,0.20,-,0.00,-
CNERGEN,CNERGENZ BERHAD,ACE,0246,Technology Equipment,308.76m,0.62,14.39,2.26,13.47
CNH,CITRA NUSA HOLDINGS BERHAD,MAIN,5104,Consumer Services,36.00m,0.05,-,0.00,-3.00
CNOUHUA,CHINA OUHUA WINERY HOLDINGS LIMITED,MAIN,5188,Food & Beverages,40.08m,0.06,-,0.00,-17.87
COASTAL,COASTAL CONTRACTS BHD,MAIN,5071,"Energy Infrastructure, Equipment & Services",1.050b,1.92,2.73,0.00,20.66
COMCORP,COMINTEL CORPORATION BHD,MAIN,7195,"Industrial Materials, Components & Equipment",512.55m,1.34,19.65,0.00,46.08
COMFORT,COMFORT GLOVES BERHAD,MAIN,2127,"Industrial Materials, Components & Equipment",212.78m,0.37,-,0.00,-7.97
COMPUGT,COMPUGATES HOLDINGS BERHAD,MAIN,5037,Industrial Services,55.00m,0.01,-,0.00,-8.50
CORAZA,CORAZA INTEGRATED TECHNOLOGY BERHAD,ACE,0240,Industrial Engineering,291.24m,0.59,26.46,0.00,10.62
COSMOS,COSMOS TECHNOLOGY INTERNATIONAL BERHAD,ACE,0261,Industrial Services,101.32m,0.40,35.27,1.27,5.57
CRESBLD,CREST BUILDER HOLDINGS BERHAD,MAIN,8591,Construction,81.38m,0.46,-,0.00,-6.27
CRESNDO,CRESCENDO CORPORATION BERHAD,MAIN,6718,Property,378.62m,1.35,20.24,3.70,1.98
CRG,CARLO RINO GROUP BERHAD,LEAP,03016,Personal Goods,185.30m,0.23,-,4.35,-
CSCENIC,CLASSIC SCENIC BERHAD,MAIN,7202,Household Goods,166.93m,0.44,13.92,8.33,7.90
CSCSTEL,CSC STEEL HOLDINGS BERHAD,MAIN,5094,Metals,444.60m,1.17,27.59,2.56,1.77
CSH,CSH ALLIANCE BERHAD,MAIN,7165,Building Materials,89.79m,0.07,-,0.00,-6.94
CTOS,CTOS DIGITAL BERHAD,MAIN,5301,Digital Services,3.211b,1.39,43.30,1.35,13.96
CUSCAPI,CUSCAPI BERHAD,MAIN,0051,Software,174.80m,0.19,-,0.00,-
CVIEW,COUNTRY VIEW BERHAD,MAIN,5049,Property,104.00m,1.04,20.31,6.73,1.25
CWG,CWG HOLDINGS BERHAD,MAIN,9423,Consumer Services,52.53m,0.32,8.79,1.56,5.69
CYBERE,CYBERJAYA EDUCATION GROUP BERHAD,MAIN,5166,Consumer Services,167.90m,0.10,-,0.00,-
CYL,CYL CORPORATION BERHAD,MAIN,7157,Packaging Materials,52.00m,0.52,-,1.92,-1.32
CYPARK,CYPARK RESOURCES BERHAD,MAIN,5184,Industrial Services,707.40m,0.89,-,0.00,-
D&O,D&O GREEN TECHNOLOGIES BERHAD,MAIN,7204,Semiconductors,4.099b,3.31,132.93,0.39,3.64
DANCO,DANCOMECH HOLDINGS BERHAD,MAIN,5276,"Industrial Materials, Components & Equipment",183.66m,0.42,8.92,4.82,10.11
DATAPRP,DATAPREP HOLDINGS BHD,MAIN,8338,Digital Services,110.70m,0.15,-,0.00,-29.11
DAY3,DAYTHREE DIGITAL BERHAD,ACE,0281,Consumer Services,168.00m,0.35,-,0.00,-
DAYANG,DAYANG ENTERPRISE HOLDINGS BERHAD,MAIN,5141,"Energy Infrastructure, Equipment & Services",2.119b,1.83,18.08,1.64,7.73
DCHCARE,DC HEALTHCARE HOLDINGS BERHAD,ACE,0283,Health Care Providers,488.19m,0.49,-,0.00,-
DELEUM,DELEUM BERHAD,MAIN,5132,"Energy Infrastructure, Equipment & Services",399.55m,1.00,9.00,5.28,11.29
DESTINI,DESTINI BERHAD,MAIN,7212,Industrial Engineering,174.67m,0.11,-,0.00,-30.69
DFCITY,DFCITY GROUP BERHAD,MAIN,5165,Building Materials,31.68m,0.30,-,0.00,-2.59
DFX,DIVFEX BERHAD,ACE,0131,Digital Services,89.49m,0.12,17.39,0.00,0.17
DGB,DGB ASIA BERHAD,ACE,0152,Software,26.35m,0.14,-,0.00,-116.50
DIALOG,DIALOG GROUP BERHAD,MAIN,7277,"Energy Infrastructure, Equipment & Services",11.574b,2.05,22.68,1.66,9.15
